34;0;2.6232386;0;1;6;1.6666651;1.1236448;-4.325981;0;1
36;-1;9.480435;0;3;13;5.1666665;4.0194516;4.7607346;0;1
38;-1;11.69953;1;4;17;7;4.9476166;3.4069061;0;1
40;-2;11.222718;2;4;16;6.5;4.7579126;7.94627;0;1
41;0;10.868048;2;5;14;6.5;4.665612;11.448936;0;1
42;2;11.112331;2;5;12;6;4.860421;15.11092;0;1
43;3;10.635519;2;5;11;5.5;4.6707172;12.646126;-0.0000076293945;1
44;4;9.559753;1;4;10;4.5;4.193905;10.604755;0;1
45;5;9.082941;1;3;9;3.5;4.004201;5.6328506;0;1
46;8;4.0587807;1;1;6;2;1.71244;1.4694672;0;1
47;10;4.3030643;1;2;4;2;1.9072485;5.2548447;0;1
48;13;1.0757661;1;1;1;1;0.47681212;9.565617;0;1
3;-1;-6.588501;-1;0;0;-2.5;-12.688572;-5.656854;0;-1
5;-1;-5.390587;-1;0;0;-3;-9.702145;-21.662619;-0.0000038146973;-1
7;-1;-3.5937347;-1;0;0;-2;-8.02166;-26.761637;0;-1
9;-3;-1.1978989;0;6;0;0;8.020935;-12.226177;0;-1
11;-4;-3.5689774;0;4;0;-0.5;5.91267;-9.780054;0;-1
13;-4;6.257473;0;10;15;4.666666;6.341358;-7.154043;0;-1
15;-2;1.6061287;0;7;14;0.31667328;8.262091;-8.644541;0;-1
17;-2;-2.8241844;0;4;14;-1.0166588;3.9491138;-9.448561;0;-1
19;-1;-4.818632;0;3;5;-2.5166683;1.6611156;-12.504923;0.0000076293945;-1
21;-3;-6.4428444;-1;0;-11;-5.5;-2.662302;-11.691299;0;-1
23;-3;-4.0587826;-1;-1;-6;-3;-3.419775;-13.163055;0;-1
25;-3;-5.7335033;-1;-4;-7;-4.5;-4.7579117;-21.17125;0;-1
27;-4;-4.657737;-1;-3;-6;-4.5;-3.5891247;-16.777803;0;-1
29;-4;-5.855645;-1;-6;-6;-5.5;-4.0965004;-16.327042;-0.0000076293945;-1
31;-3;-5.7335005;-2;-3;-7;-4.5;-2.4763603;-23.553026;-0.0000076293945;-1
33;-2;-4.4134502;-2;-2;-8;-4;-1.8047395;-17.014046;0;-1
